iter	Passed	Remaining
891	1738	210
892	1739	208
893	1741	206
894	1742	204
895	1744	202
896	1748	200
897	1751	199
898	1753	197
899	1755	195
900	1757	193
901	1759	191
902	1764	189
903	1765	187
904	1767	185
905	1769	183
906	1770	181
907	1775	179
908	1776	177
909	1778	175
910	1781	174
911	1784	172
912	1788	170
913	1791	168
914	1792	166
915	1800	165
916	1804	163
917	1808	161
918	1811	159
919	1813	157
920	1815	155
921	1817	153
922	1821	151
923	1824	150
924	1828	148
925	1830	146
926	1831	144
927	1833	142
928	1834	140
929	1836	138
930	1838	136
931	1841	134
932	1843	132
933	1845	130
934	1846	128
935	1848	126
936	1852	124
937	1855	122
938	1857	120
939	1859	118
940	1862	116
941	1866	114
942	1869	113
943	1873	111
944	1888	109
945	1896	108
946	1899	106
947	1902	104
948	1905	102
949	1906	100
950	1911	98
951	1914	96
952	1919	94
953	1921	92
954	1924	90
955	1926	88
956	1932	86
957	1934	84
958	1936	82
959	1937	80
960	1939	78
961	1942	76
962	1946	74
963	1948	72
964	1955	70
965	1961	69
966	1963	66
967	1964	64
968	1967	62
969	1969	60
970	1970	58
971	1972	56
972	1976	54
973	1979	52
974	1981	50
975	1983	48
976	1986	46
977	1988	44
978	1990	42
979	1993	40
980	1994	38
981	2003	36
982	2013	34
983	2019	32
984	2021	30
985	2025	28
986	2030	26
987	2031	24
988	2033	22
989	2035	20
990	2038	18
991	2039	16
992	2041	14
993	2043	12
994	2044	10
995	2046	8
996	2051	6
997	2053	4
998	2056	2
999	2060	0
